epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.61885,5.55565,3.93101,1.92925,0.00167,0.00337,1e-05,0,3.605,3.61987,1.31499,0,0,0
2,6.79097,3.90466,3.74459,1.85139,0.00167,0.00337,1e-05,0,3.62454,3.61789,1.32156,1.9901e-05,1.9901e-05,1.9901e-05
3,7.01221,4.52547,3.82903,1.87071,0.00167,0.00337,1e-05,0,3.65188,3.61925,1.3318,3.9604e-05,3.9604e-05,3.9604e-05
4,7.23437,5.11398,3.86509,1.83481,0.00167,0.00337,1e-05,0,3.46057,3.60015,1.25188,5.9109e-05,5.9109e-05,5.9109e-05
5,7.46426,4.66062,3.80774,1.8243,0.00333,0.00675,2e-05,1e-05,3.3903,3.58571,1.20046,7.8416e-05,7.8416e-05,7.8416e-05
6,7.67918,4.31082,3.73485,1.6456,0.00167,0.00337,1e-05,1e-05,3.40022,3.58873,1.20787,9.7525e-05,9.7525e-05,9.7525e-05
7,7.87314,4.05282,3.71887,1.71124,0.0075,0.01518,0.00013,2e-05,3.34851,3.57564,1.15544,0.000116436,0.000116436,0.000116436
8,8.06612,4.23625,3.67234,1.70247,0.01167,0.02361,0.00033,6e-05,3.29245,3.55308,1.09937,0.000135149,0.000135149,0.000135149
9,8.27741,3.79567,3.50697,1.35049,0.02167,0.04384,0.00105,0.0002,3.35662,3.53273,1.0744,0.000153664,0.000153664,0.000153664
10,8.49842,4.38367,3.51208,1.40633,0.035,0.07083,0.00264,0.00039,3.4125,3.51043,1.06251,0.000171981,0.000171981,0.000171981
11,8.70159,3.21357,3.29756,1.20431,0.05667,0.11467,0.00658,0.00118,3.29648,3.46951,1.04391,0.0001901,0.0001901,0.0001901
12,8.96518,3.17579,3.18895,1.14835,0.05583,0.11298,0.00662,0.00134,3.15123,3.43843,1.03241,0.000208021,0.000208021,0.000208021
13,9.18044,3.10144,2.97296,1.11075,0.06917,0.13997,0.00963,0.00178,3.0401,3.40686,1.02111,0.000225744,0.000225744,0.000225744
14,9.39219,3.09986,2.90907,1.13652,0.05917,0.11973,0.00735,0.00135,3.03205,3.39015,1.02631,0.000243269,0.000243269,0.000243269
15,9.59874,2.88931,2.60668,1.06399,0.05917,0.11973,0.00732,0.00127,3.03955,3.35495,1.0361,0.000260596,0.000260596,0.000260596
16,9.79489,3.66574,2.51445,1.14665,0.06333,0.12816,0.00887,0.00181,3.02128,3.28782,1.0341,0.000277725,0.000277725,0.000277725
17,10.0963,2.83665,2.17633,1.08584,0.07833,0.15852,0.01791,0.00557,2.96615,3.18038,1.02264,0.000294656,0.000294656,0.000294656
18,10.2838,2.77119,2.11012,1.0731,0.07833,0.15852,0.01791,0.00557,2.96615,3.18038,1.02264,0.000311389,0.000311389,0.000311389
19,10.4963,2.63751,1.95797,1.02707,0.10083,0.20405,0.05207,0.01411,2.95043,3.04464,1.01736,0.000327924,0.000327924,0.000327924
20,10.6936,2.96024,1.87157,1.0422,0.10083,0.20405,0.05207,0.01411,2.95043,3.04464,1.01736,0.000344261,0.000344261,0.000344261
21,10.9032,2.64215,1.85315,1.03079,0.11083,0.22428,0.09452,0.02661,2.90885,2.90737,1.013,0.0003604,0.0003604,0.0003604
22,11.0976,2.6196,1.7183,1.04913,0.11083,0.22428,0.09452,0.02661,2.90885,2.90737,1.013,0.000376341,0.000376341,0.000376341
23,11.3033,2.71408,1.81221,1.04842,0.1175,0.23777,0.1001,0.02984,2.89597,2.75272,1.01906,0.000392084,0.000392084,0.000392084
24,11.5317,3.88353,1.95481,1.05115,0.1175,0.23777,0.1001,0.02984,2.89597,2.75272,1.01906,0.000407629,0.000407629,0.000407629
25,11.751,3.18404,1.82987,1.04266,0.14083,0.28499,0.12855,0.04813,2.82278,2.57546,1.01247,0.000422976,0.000422976,0.000422976
26,11.96,3.51829,1.79898,1.04262,0.14083,0.28499,0.12855,0.04813,2.82278,2.57546,1.01247,0.000438125,0.000438125,0.000438125
27,12.1751,3.54616,1.76108,1.0222,0.16917,0.34233,0.21189,0.08429,2.80291,2.39138,0.99377,0.000453076,0.000453076,0.000453076
28,12.4018,3.21054,1.72299,1.032,0.16917,0.34233,0.21189,0.08429,2.80291,2.39138,0.99377,0.000467829,0.000467829,0.000467829
29,12.6358,2.91136,1.71639,1.0112,0.2,0.40472,0.25948,0.09193,2.83323,2.21163,0.99661,0.000482384,0.000482384,0.000482384
30,12.8619,3.11755,1.73519,1.05344,0.2,0.40472,0.25948,0.09193,2.83323,2.21163,0.99661,0.000496741,0.000496741,0.000496741
31,13.1015,3.0914,1.60352,1.09136,0.23833,0.48229,0.30878,0.10753,2.7666,2.00819,0.99904,0.0005109,0.0005109,0.0005109
32,13.2938,2.93294,1.57126,1.09861,0.23833,0.48229,0.30878,0.10753,2.7666,2.00819,0.99904,0.000524861,0.000524861,0.000524861
33,13.5464,3.15625,1.6557,0.98095,0.5028,0.33936,0.29498,0.0984,2.91289,1.83302,1.04968,0.000538624,0.000538624,0.000538624
34,13.7366,2.3685,1.32081,0.99729,0.5028,0.33936,0.29498,0.0984,2.91289,1.83302,1.04968,0.000552189,0.000552189,0.000552189
35,13.9547,4.03436,1.87105,1.01341,0.5127,0.27487,0.25539,0.07927,3.08851,1.68416,1.09185,0.000565556,0.000565556,0.000565556
36,14.1659,3.47562,1.61353,1.00386,0.5127,0.27487,0.25539,0.07927,3.08851,1.68416,1.09185,0.000578725,0.000578725,0.000578725
37,14.3797,2.8907,1.51515,0.99597,0.48428,0.34401,0.30389,0.09653,2.93727,1.56957,1.05003,0.000591696,0.000591696,0.000591696
38,14.5816,3.25184,1.54907,1.01474,0.48428,0.34401,0.30389,0.09653,2.93727,1.56957,1.05003,0.000604469,0.000604469,0.000604469
39,14.8312,4.07498,1.78268,0.99161,0.54526,0.41653,0.38641,0.12773,2.70273,1.48482,0.99491,0.000617044,0.000617044,0.000617044
